Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate
S01006604,"Kincorth, Leggart and Nigg North",Aberdeen City,653,430,12%,78,8%,36,90,140,23,135,21%,0.03,119,79%,5.00,104,8%,12%,2.762374631,2.052422566,2.066161504,2.362244898,4.046500737,6.844865772,6.874369469,5.284889381,14.07227876,2%,11,171,86,9,13%,1%
S01006605,"Kincorth, Leggart and Nigg North",Aberdeen City,781,480,19%,149,12%,57,125,425,123,135,24%,0.04,136,73%,4.88,129,4%,3%,2.881296758,1.264650873,1.29394015,2.187826603,4.385589152,6.712259414,4.801870324,4.233721945,13.44102244,0%,34,441,113,9,14%,1%
S01006606,"Kincorth, Leggart and Nigg North",Aberdeen City,794,480,7%,52,7%,35,85,78,19,101,18%,0.03,102,82%,5.78,90,2%,6%,2.869696149,2.542397714,2.542722623,2.899923077,3.66673586,6.769571429,8.542635379,8.835294826,11.72701264,0%,14,179,77,7,9%,1%
S01006607,"Kincorth, Leggart and Nigg North",Aberdeen City,919,616,10%,96,9%,54,85,97,165,64,17%,0.02,107,79%,5.13,126,6%,2%,3.28626606,1.358230728,1.556252677,2.122839806,4.203054069,5.484870968,4.899170236,4.993897216,13.21594486,0%,13,143,156,3,17%,0%
S01006608,"Kincorth, Leggart and Nigg South",Aberdeen City,1653,1118,3%,53,2%,26,35,38,0,62,14%,0.03,78,87%,5.81,66,2%,13%,3.029750683,4.114224727,3.973773907,4.476624685,5.491922814,5.187286996,13.88489071,13.79221995,17.61547814,20%,30,184,51,2,7%,0%
S01006609,"Kincorth, Leggart and Nigg South",Aberdeen City,1054,684,11%,113,7%,51,85,128,85,101,19%,0.07,105,76%,4.33,115,5%,6%,2.938800564,1.776883819,1.88394873,2.561569038,4.656509878,5.22212766,5.268951082,4.907587018,12.97783161,0%,31,298,157,0,15%,0%
S01006610,"Kincorth, Leggart and Nigg South",Aberdeen City,431,287,12%,52,14%,39,95,207,67,85,27%,0.00,143,72%,5.20,107,0%,4%,2.558546771,1.489159243,1.577962138,2.364040404,4.471648107,6.435320513,5.469287305,5.002422049,14.29844655,0%,6,141,64,4,14%,1%
S01006611,"Kincorth, Leggart and Nigg South",Aberdeen City,906,609,12%,106,10%,61,110,137,134,99,22%,0.04,115,85%,5.19,130,0%,8%,2.04062296,2.186452666,1.558239935,2.599254032,3.905095212,7.204016393,8.527157236,4.531368335,16.42679815,0%,25,279,138,7,15%,1%
S01006612,"Kincorth, Leggart and Nigg South",Aberdeen City,858,589,6%,49,6%,34,75,70,16,60,19%,0.00,96,87%,5.29,91,2%,7%,1.246829268,3.201231127,1.789991289,3.52604,4.09970964,6.608878924,10.86614692,4.872444832,15.96800523,10%,20,236,64,10,7%,1%
S01006613,Cove South,Aberdeen City,591,425,1%,8,2%,8,35,12,0,70,13%,0.00,49,91%,6.00,46,2%,12%,3.546793301,2.833680556,2.787606209,1.903928571,6.182802288,4.66640625,6.468022876,10.07669935,15.50071078,0%,10,171,33,5,5%,1%
S01006614,Cove South,Aberdeen City,669,476,3%,20,3%,13,40,73,36,27,12%,0.00,65,92%,5.72,48,2%,5%,3.825553097,2.125147493,1.946471239,2.643628571,6.444085546,5.305775194,6.288366519,7.433053097,15.67466814,0%,3,45,15,10,2%,1%
S01006615,Cove South,Aberdeen City,838,586,4%,30,2%,13,30,24,0,49,10%,0.00,46,91%,5.90,36,0%,14%,3.850725503,3.341184045,3.29406093,2.961734317,6.586843593,5.514295302,9.142330402,9.738523869,17.18682789,0%,5,60,20,0,3%,0%
S01006616,Cove South,Aberdeen City,747,597,2%,16,3%,18,35,103,16,114,15%,0.06,93,88%,5.60,55,1%,11%,3.434254442,1.734070431,1.813937183,2.71412,6.05313769,4.883615385,5.056167513,7.067639594,14.74009518,0%,4,54,43,15,5%,2%
S01006617,Cove South,Aberdeen City,635,415,3%,18,5%,19,70,37,24,88,16%,0.00,70,90%,5.27,74,3%,5%,3.499045521,2.417584435,1.055980176,2.558415842,6.1170558,5.01047619,7.174977974,3.646013216,14.49848752,0%,12,191,36,18,5%,3%
S01006618,Cove South,Aberdeen City,474,324,2%,9,1%,5,40,65,67,87,19%,0.10,61,*,5.29,57,7%,16%,3.205048638,1.524790856,2.340452335,2.709148936,5.825646887,4.373378378,3.929309339,9.674182879,14.20847276,0%,*,*,25,6,5%,1%
S01006619,Cove North,Aberdeen City,869,586,3%,24,4%,24,55,40,16,128,16%,0.07,83,89%,5.36,90,1%,7%,3.333050511,2.679287741,2.049886493,2.804433498,5.951634506,4.779666667,7.343785471,7.297729852,14.7850681,31%,7,82,45,23,5%,3%
S01006620,Cove North,Aberdeen City,786,515,5%,40,4%,22,75,26,0,86,17%,0.05,94,88%,5.36,87,5%,3%,2.293004127,1.843567217,2.403260613,2.192052239,4.911948703,3.845058824,4.497010613,8.06104658,11.69452241,16%,10,129,63,16,7%,2%
S01006621,Cove North,Aberdeen City,504,322,3%,16,5%,15,50,85,0,129,18%,0.04,111,86%,5.64,79,6%,5%,1.485855769,1.629057692,2.923052885,2.747421053,4.10375,3.02204918,5.892173077,8.132865385,10.79457692,5%,*,*,32,16,6%,3%
S01006622,Cove North,Aberdeen City,663,529,4%,26,4%,20,45,42,36,35,15%,0.08,84,*,5.41,58,1%,10%,2.045620329,1.22348281,3.014379671,2.39609375,4.664809417,3.487883436,6.364323617,10.95946562,13.23064275,0%,3,46,57,23,9%,3%
S01006623,Cove North,Aberdeen City,719,483,9%,63,11%,54,90,118,36,178,27%,0.13,112,72%,5.44,109,4%,5%,2.761562092,2.993823529,2.430232026,3.479675926,3.222303922,4.841122449,9.804656863,7.423526144,10.93640196,17%,117,1634,82,24,12%,3%
S01006624,Torry West,Aberdeen City,771,611,11%,87,12%,72,90,212,289,97,16%,0.08,117,64%,5.22,139,13%,1%,1.535696038,1.522640772,1.272651199,1.965898437,1.58061001,6.775,5.424747132,4.742020334,5.158305527,0%,32,420,235,70,29%,9%
S01006625,Torry West,Aberdeen City,621,441,11%,71,9%,37,90,71,64,98,17%,0.00,109,74%,5.40,105,0%,9%,2.364301766,1.290943018,1.602941413,1.828814815,1.670597913,6.928857143,4.039727127,5.43535313,5.716500803,0%,42,669,103,3,17%,0%
S01006626,Torry West,Aberdeen City,683,477,18%,121,16%,76,115,268,243,171,22%,0.13,163,72%,4.63,152,5%,5%,2.837778552,1.3166539,1.949923398,2.155704225,2.014011142,7.276038961,4.080682451,6.263763928,6.716671309,0%,55,801,165,10,23%,1%
S01006627,Torry West,Aberdeen City,818,681,16%,128,14%,96,130,194,349,190,16%,0.15,116,55%,4.00,107,20%,3%,2.679103609,2.162773574,1.114036671,2.367809524,1.209295693,7.016293103,7.834071595,3.584953434,3.979039581,1%,31,384,320,40,38%,5%
S01006628,Torry West,Aberdeen City,1055,866,12%,131,12%,102,85,173,176,181,12%,0.02,115,70%,5.67,117,17%,3%,1.735198268,1.993372835,0.840822698,2.185335821,0.90715588,6.748464912,5.790385141,2.396312671,2.577509116,0%,89,845,412,110,38%,10%
S01006629,Torry West,Aberdeen City,872,516,23%,201,14%,74,110,595,141,164,24%,0.05,156,61%,4.32,159,6%,5%,2.696855542,1.790373599,1.200547945,2.536969178,1.217705479,6.361653543,6.065691158,5.092173101,5.101980075,0%,38,441,159,2,22%,0%
S01006630,Torry West,Aberdeen City,652,400,21%,138,14%,54,150,25,181,116,21%,0.07,124,76%,5.14,200,8%,3%,3.581511164,2.594800638,1.941909888,2.069571429,1.914366029,6.557743056,9.62539075,5.447121212,7.092735247,0%,27,419,118,8,19%,1%
S01006631,Torry East,Aberdeen City,1047,666,17%,181,13%,87,115,157,129,152,21%,0.04,130,62%,4.21,154,5%,2%,4.30658896,3.157660772,2.721680064,2.750992509,2.816784566,8.080539683,10.43711415,9.844785638,10.33376474,1%,71,677,176,33,19%,4%
S01006632,Torry East,Aberdeen City,826,569,20%,163,15%,83,115,150,211,168,18%,0.02,124,68%,4.21,167,9%,4%,3.409802956,1.925849754,2.01950431,2.578598901,2.09447968,7.557575758,7.211206897,7.013275862,7.419538177,0%,46,552,181,10,22%,1%
S01006633,Torry East,Aberdeen City,660,434,26%,169,20%,86,135,248,402,135,21%,0.05,150,61%,5.33,193,5%,6%,3.736373391,2.541648784,2.217925608,1.32815508,2.163855508,6.930106952,8.514306152,8.515801144,9.444449213,0%,112,1703,159,4,23%,1%
S01006634,Torry East,Aberdeen City,624,423,28%,175,21%,87,170,244,442,178,21%,0.09,146,69%,4.57,192,8%,1%,4.624100946,3.273753943,3.0442153,1.870881148,3.042326498,7.692260274,9.818927445,8.719751577,9.947409306,0%,83,1331,118,14,19%,2%
S01006635,Torry East,Aberdeen City,627,418,17%,105,13%,54,110,76,429,117,17%,0.03,123,61%,4.30,146,3%,3%,3.841660334,2.39162234,2.298970365,2.209640719,2.364745441,7.573823529,7.005030395,8.830919453,9.11975304,0%,36,581,146,11,22%,2%
S01006636,Torry East,Aberdeen City,798,502,26%,207,18%,91,150,315,482,197,18%,0.04,149,74%,5.31,198,7%,8%,5.13345977,3.710316092,3.552856322,2.395261584,3.596545977,8.166536145,9.814,9.435672414,10.71904598,0%,66,825,182,5,21%,1%
S01006637,Hanover South,Aberdeen City,772,608,10%,80,9%,55,90,127,63,130,13%,0.08,92,76%,*,72,13%,4%,3.670478088,2.925458167,2.988658699,2.184444444,2.857450199,5.165131579,9.437735724,9.003044489,8.589797477,2%,53,682,154,43,22%,6%
S01006638,Hanover South,Aberdeen City,779,663,15%,114,13%,88,135,183,177,157,19%,0.05,115,61%,5.00,84,9%,1%,2.279436451,1.045155875,2.145044964,1.784827586,2.792541966,4.78125,3.874181655,6.174823141,7.882233213,0%,59,754,221,36,26%,4%
S01006639,Hanover South,Aberdeen City,924,702,18%,166,14%,98,145,228,98,153,20%,0.03,130,76%,5.46,98,2%,2%,2.033772487,1.685674603,1.989936508,1.518924528,2.731833333,4.371803279,4.879248677,4.402219577,6.779978836,1%,56,603,271,62,29%,7%
S01006640,Hanover South,Aberdeen City,822,743,4%,29,2%,15,25,112,51,56,9%,0.06,61,*,5.00,47,7%,14%,3.158184647,1.81131397,2.608592669,1.941333333,2.156082296,5.086891892,7.550311203,9.173827801,7.339052559,4%,20,246,141,6,20%,1%
S01006641,Hanover North,Aberdeen City,1044,888,8%,82,10%,85,90,147,152,57,14%,0.03,79,70%,*,78,10%,10%,2.673661228,0.889241843,2.797303263,2.294519231,2.933174184,5.343452381,3.001158829,8.588104607,8.898666027,0%,34,330,296,53,30%,5%
S01006642,Hanover North,Aberdeen City,1299,1184,8%,99,7%,84,95,168,153,120,13%,0.03,72,77%,4.80,46,18%,22%,1.296698835,2.014805171,3.05828842,2.772358491,3.333627094,3.979444444,3.874959942,4.472618354,6.559887109,2%,81,624,243,49,29%,6%
S01006643,Hanover North,Aberdeen City,698,637,3%,23,4%,25,55,70,140,168,10%,0.00,73,*,*,35,0%,37%,1.955592466,1.622304795,3.169780822,2.598,3.752181507,4.751428571,3.871938356,5.428712329,7.460643836,0%,20,290,207,48,28%,7%
S01006644,Hanover North,Aberdeen City,1139,1001,7%,77,6%,61,75,52,28,66,15%,0.10,73,80%,5.43,86,11%,40%,2.067873832,2.018169782,3.639418484,3.166310345,4.289306854,5.365970149,5.398468328,7.257928349,10.04533229,0%,28,249,276,32,29%,3%
S01006645,George Street,Aberdeen City,688,512,23%,159,18%,94,120,248,127,125,18%,0.02,135,73%,5.00,134,7%,4%,1.943686317,2.444381368,3.979275837,2.947517483,2.532529112,3.677987013,5.790931587,8.324101164,4.36915575,3%,90,1310,131,30,19%,4%
S01006646,George Street,Aberdeen City,861,762,5%,46,3%,24,70,81,26,168,11%,0.08,85,*,n/a,60,13%,8%,1.561385572,2.687221393,3.554691542,2.735846154,2.961482587,2.331481481,6.333228856,7.315788557,5.017492537,42%,73,847,152,45,28%,8%
S01006647,George Street,Aberdeen City,625,460,13%,83,9%,42,80,119,192,107,14%,0.00,113,71%,6.17,116,4%,8%,1.427040895,2.762893519,3.343294753,3.458177083,3.210250772,3.054803922,7.291527778,6.270104167,5.646574074,29%,20,324,134,32,21%,5%
S01006648,George Street,Aberdeen City,1751,1611,7%,130,8%,122,85,87,49,139,10%,0.06,64,83%,4.63,70,12%,16%,3.060918792,2.03344235,3.049717295,2.282887324,2.606323448,2.179526316,4.805893847,6.605302106,5.76046286,59%,112,642,325,82,30%,8%
S01006649,George Street,Aberdeen City,954,828,14%,132,13%,106,125,132,106,161,17%,0.09,100,77%,*,100,4%,3%,2.465202914,1.455052029,3.132645682,2.302848837,1.623798127,3.98164557,4.804812695,6.53041103,3.460104058,0%,58,605,217,23,23%,2%
S01006650,George Street,Aberdeen City,801,680,10%,77,8%,53,85,202,213,170,14%,0.05,124,76%,*,67,20%,1%,2.904612922,1.152927823,2.775419092,2.72971831,1.769231665,4.242954545,2.729522701,5.744365541,3.898099534,0%,53,657,267,56,31%,7%
S01006651,George Street,Aberdeen City,677,536,12%,78,10%,52,90,190,53,106,18%,0.00,89,41%,*,84,4%,1%,2.085350394,1.239503937,3.606248031,3.222207792,1.757082677,4.641842105,4.002582677,6.406444882,4.59288189,0%,63,927,194,36,31%,6%
S01006652,George Street,Aberdeen City,744,664,4%,32,3%,19,35,80,15,129,14%,0.00,91,*,*,65,0%,2%,1.322201835,1.600981651,3.752573394,3.118023256,2.213013761,3.927105263,5.39412844,7.330229358,5.995522936,13%,25,340,120,21,22%,4%
S01006653,Ashgrove,Aberdeen City,545,427,6%,31,4%,18,50,86,19,65,14%,0.03,69,*,5.00,24,0%,4%,4.821400709,3.388922872,0.910536348,2.95,2.652876773,4.044464286,6.754835993,2.919574468,7.838798759,0%,13,242,66,5,12%,1%
S01006654,Ashgrove,Aberdeen City,877,638,20%,179,17%,106,165,312,172,112,23%,0.11,134,66%,4.93,107,12%,5%,4.437984136,3.580500547,1.405847921,3.045192982,3.442193654,4.13562963,9.726425055,5.779647155,10.39472648,0%,34,393,169,8,19%,1%
S01006655,Ashgrove,Aberdeen City,809,598,7%,54,9%,56,100,34,84,280,15%,0.09,81,83%,6.60,102,3%,10%,4.987137431,3.669385359,2.088228591,3.615058824,2.987627762,4.493969466,9.430383287,6.664195442,9.712472376,0%,43,526,98,5,16%,1%
S01006656,Ashgrove,Aberdeen City,980,815,11%,104,8%,67,90,114,53,88,14%,0.09,95,74%,5.43,52,2%,3%,3.356349535,1.871540848,2.680801448,1.725912698,2.229550155,3.318375,4.767119959,5.872885212,6.663453981,0%,43,434,177,42,19%,4%
S01006657,Ashgrove,Aberdeen City,525,447,10%,54,8%,38,85,76,95,115,15%,0.03,103,75%,*,73,6%,4%,4.108166978,2.199160448,1.232070896,1.770925926,3.132845149,2.714622642,3.426329291,2.637630597,4.544076493,5%,388,7388,140,30,26%,6%
S01006658,"Froghall, Powis and Sunnybank",Aberdeen City,1204,1006,13%,153,9%,95,90,183,262,137,15%,0.12,124,67%,4.15,104,8%,5%,2.454313773,1.959835112,3.825162464,2.811941964,2.780387973,4.990718954,7.3542871,9.671554316,8.378322017,0%,51,421,337,37,33%,4%
S01006659,"Froghall, Powis and Sunnybank",Aberdeen City,603,484,2%,12,2%,8,30,109,96,100,12%,0.00,78,74%,*,38,0%,1%,2.968639241,1.52309731,3.137994462,1.584016393,2.554450158,4.233392857,6.201867089,8.213615506,6.342294304,0%,9,151,129,11,20%,2%
S01006660,"Froghall, Powis and Sunnybank",Aberdeen City,505,371,16%,81,8%,30,70,113,149,38,11%,0.04,95,62%,4.83,116,0%,3%,3.655464896,1.868296964,3.336100569,2.73825419,2.585199241,4.482861446,5.852381404,8.715493359,5.381328273,0%,23,461,179,25,34%,5%
S01006661,"Froghall, Powis and Sunnybank",Aberdeen City,592,477,4%,25,3%,14,50,42,41,101,13%,0.05,76,65%,4.67,56,0%,1%,3.47585209,1.90670418,3.216491158,1.75188172,2.61039791,3.680769231,5.20744373,8.862242765,5.231141479,0%,9,154,132,43,21%,7%
S01006662,"Froghall, Powis and Sunnybank",Aberdeen City,893,706,11%,101,8%,57,95,100,185,170,11%,0.05,101,64%,5.00,135,5%,2%,3.413143713,2.567449102,2.943739521,2.768033175,3.613640719,3.92675,6.598452096,7.358278443,8.196035928,0%,35,397,118,14,20%,2%
S01006663,"Froghall, Powis and Sunnybank",Aberdeen City,568,477,1%,7,1%,6,20,167,91,68,10%,0.07,82,*,*,58,0%,1%,1.384839858,1.122815836,2.614893238,2.313653846,4.256628114,4.4025,3.093674377,3.969626335,8.287891459,9%,7,125,160,19,28%,3%
S01006664,"Froghall, Powis and Sunnybank",Aberdeen City,578,500,4%,24,4%,19,60,93,22,76,12%,0.05,89,*,*,74,0%,1%,2.219300391,1.104960861,3.430694716,1.424933333,3.493737769,4.561714286,3.534833659,7.159584149,10.22923679,0%,17,298,124,16,25%,3%
S01006665,"Froghall, Powis and Sunnybank",Aberdeen City,773,675,5%,37,4%,24,50,55,89,68,11%,0.00,82,*,5.80,69,4%,15%,1.646299157,1.404143258,3.313563904,1.99234375,3.642977528,4.975857143,4.562359551,6.520122893,10.0964677,0%,17,223,180,45,31%,8%
S01006666,Seaton,Aberdeen City,1001,694,23%,233,18%,123,155,432,350,165,22%,0.09,143,75%,5.36,166,4%,4%,2.026231471,2.301755986,1.498078677,1.845537757,5.688041619,4.533947368,7.424429875,6.886927024,13.21258837,1%,63,627,177,47,20%,5%
S01006667,Seaton,Aberdeen City,750,528,24%,179,22%,114,175,188,338,185,22%,0.05,131,63%,4.55,153,18%,3%,2.077307692,1.356632928,1.635283401,2.342602339,5.481663293,4.7935,6.43347166,7.018846154,11.97996289,0%,67,891,161,62,22%,8%
S01006668,Seaton,Aberdeen City,902,810,6%,52,4%,36,60,42,133,59,11%,0.05,72,76%,5.17,59,21%,15%,1.551026982,2.27435022,3.118551762,3.5758,5.152290749,6.180232558,5.130490088,6.11097467,9.989917401,30%,25,281,203,22,28%,3%
S01006669,Seaton,Aberdeen City,965,755,12%,118,12%,91,135,168,189,119,16%,0.00,103,*,*,99,0%,3%,1.984466776,1.80199959,1.834105824,2.67373494,5.193082445,4.213695652,4.603593109,4.168027071,9.769958983,1%,49,504,161,24,22%,3%
S01006670,Seaton,Aberdeen City,857,738,8%,70,6%,43,95,111,64,103,13%,0.00,85,*,*,80,0%,9%,1.629776642,2.360920344,3.493377287,3.463454545,4.729246502,5.894487179,5.057228202,6.032997847,9.410064586,0%,39,461,142,22,27%,4%
S01006671,Old Aberdeen,Aberdeen City,2029,1872,1%,22,1%,17,20,59,21,49,7%,0.05,35,75%,*,39,0%,5%,2.793146427,4.674406237,3.387271789,2.361263736,7.644020033,4.643387097,8.748521272,7.329268897,16.37991945,26%,19,95,88,12,19%,3%
S01006672,Old Aberdeen,Aberdeen City,801,573,15%,120,9%,49,105,230,149,122,17%,0.04,160,74%,4.87,144,5%,2%,1.377734568,2.01795679,0.926638889,1.473509235,5.22508642,3.916217949,4.223790123,3.273941358,9.618901235,0%,32,405,214,18,28%,2%
S01006673,Old Aberdeen,Aberdeen City,862,700,14%,122,10%,73,115,297,189,62,16%,0.03,127,75%,4.50,125,3%,15%,1.496316705,2.694544664,1.56537993,1.42840708,5.9600029,4.489787234,6.134234339,6.075176914,11.41939095,0%,38,446,130,17,18%,2%
S01006674,Old Aberdeen,Aberdeen City,913,560,21%,192,21%,119,130,235,164,147,22%,0.11,117,72%,5.25,151,4%,6%,1.833898168,3.086632543,2.019908405,2.054105603,5.978925108,4.966695906,6.277367996,6.167742457,11.71401401,0%,38,421,177,36,19%,4%
S01006675,Tillydrone,Aberdeen City,915,629,20%,181,13%,84,120,226,384,114,15%,0.07,142,66%,4.86,129,12%,4%,4.230797051,2.530547753,1.433953652,2.757813268,3.134343399,4.242754491,11.08129565,3.684325843,12.1736236,0%,32,354,124,10,17%,1%
S01006676,Tillydrone,Aberdeen City,734,473,21%,152,18%,87,150,169,184,122,21%,0.03,144,64%,5.21,136,2%,4%,4.063119143,2.949233601,1.601706827,3.078342175,3.541716867,3.281,8.962965194,5.54708166,9.094946452,0%,54,731,163,8,22%,1%
S01006677,Tillydrone,Aberdeen City,724,524,23%,170,21%,109,155,608,387,163,26%,0.05,164,78%,5.19,153,7%,3%,3.892928769,2.977465422,2.417970263,3.134522472,4.042935685,2.199044118,7.693689488,7.965038036,8.304903181,0%,51,699,133,14,18%,2%
S01006678,Tillydrone,Aberdeen City,1690,1135,18%,305,14%,161,130,163,68,122,19%,0.08,129,70%,5.19,162,9%,6%,4.060102352,2.521239111,1.437835366,2.393671875,3.079723432,4.093899083,10.73441202,5.067221254,10.54290287,32%,67,395,210,11,18%,1%
S01006679,Tillydrone,Aberdeen City,614,416,4%,26,4%,15,50,54,0,112,17%,0.00,83,87%,5.50,87,3%,4%,3.008639144,1.630107034,1.659109327,2.277303371,2.037954893,3.754857143,7.780351682,6.466746942,9.149296636,0%,5,82,61,14,9%,2%
S01006680,Tillydrone,Aberdeen City,891,598,20%,178,15%,88,120,258,168,139,15%,0.01,130,65%,5.00,162,19%,5%,4.24229436,2.63923913,2.139673913,2.410884544,3.175091069,4.404618644,12.13694183,7.405658049,11.92788778,0%,28,318,163,15,19%,2%
S01006681,Woodside,Aberdeen City,773,464,18%,137,14%,65,125,293,224,186,30%,0.03,111,72%,5.00,119,6%,7%,1.635693452,3.43227381,1.718994048,2.98754386,2.256532738,4.871,9.447657738,6.762732143,6.341169643,16%,20,262,155,24,21%,3%
S01006682,Woodside,Aberdeen City,940,592,21%,198,13%,77,135,249,222,126,16%,0.09,136,67%,5.11,131,8%,4%,3.265067409,1.440934936,1.906342321,2.96252907,1.950489449,3.56423913,4.110375147,7.831737984,6.473672333,0%,32,345,198,14,23%,2%
S01006683,Woodside,Aberdeen City,930,664,22%,200,13%,88,125,192,110,120,16%,0.02,126,64%,4.93,123,9%,9%,3.761576835,1.558612385,2.311450688,2.338410494,2.650771216,2.373100559,4.735011468,6.565636468,6.585754014,0%,33,359,188,17,22%,2%
S01006684,Woodside,Aberdeen City,703,514,27%,190,26%,134,210,259,202,102,24%,0.03,157,56%,3.40,132,16%,3%,2.352061404,1.332569444,1.54121345,2.088555556,1.360745614,3.60631068,4.971103801,5.280625,5.001348684,0%,62,879,163,22,24%,3%
S01006685,Woodside,Aberdeen City,671,498,22%,147,19%,93,140,211,421,153,22%,0.03,133,77%,5.80,132,11%,7%,1.418469595,2.325814189,1.494452703,1.843097345,1.854601351,4.643251748,6.281074324,5.674179054,5.263486486,0%,42,619,133,20,18%,3%
S01006686,Hilton,Aberdeen City,593,406,17%,99,12%,49,105,189,119,117,21%,0.05,120,74%,5.29,123,5%,2%,1.621450965,3.602495981,1.500924437,2.596428571,2.303054662,4.606714286,10.1566037,6.895892283,7.145578778,0%,11,188,99,4,16%,1%
S01006687,Hilton,Aberdeen City,735,490,15%,107,12%,60,110,127,99,77,21%,0.04,110,69%,5.40,122,10%,2%,2.236356543,2.854102641,1.76967587,1.989520548,2.147836134,4.730952381,10.59333133,6.091884754,8.057809124,0%,15,207,120,11,14%,1%
S01006688,Hilton,Aberdeen City,915,517,10%,88,5%,26,90,98,35,95,18%,0.03,94,88%,6.10,75,2%,10%,2.785189474,2.924015789,1.953526316,2.893549618,2.836421053,4.0925,11.8677,8.027352632,11.40783421,0%,18,199,86,3,9%,0%
S01006689,Hilton,Aberdeen City,931,725,1%,9,1%,7,15,4,25,112,11%,0.06,63,87%,5.80,30,0%,8%,4.024018283,2.45468601,1.88108903,2.867560976,2.979189189,3.42,9.642237679,6.391717011,11.15922893,0%,17,185,42,5,7%,1%
S01006690,Hilton,Aberdeen City,583,427,8%,45,7%,29,65,212,165,93,14%,0.00,114,74%,5.88,79,4%,2%,3.162941919,2.351140572,1.167811448,2.421693548,2.177811448,3.809545455,9.682798822,4.076826599,9.244617003,0%,9,156,80,6,13%,1%
S01006691,Hilton,Aberdeen City,623,454,4%,28,5%,21,55,80,65,69,16%,0.15,82,*,4.60,53,0%,3%,4.54004025,2.84690966,1.532495528,1.9765,3.551207513,3.109871795,7.00740161,4.588443649,8.15244186,0%,10,163,46,3,8%,1%
S01006692,Hilton,Aberdeen City,754,544,5%,34,5%,29,65,43,120,75,15%,0.00,95,76%,6.38,69,4%,6%,4.01092655,2.073261456,1.650242588,2.00245283,2.939127358,2.626746988,6.302564016,4.93347035,7.987365229,0%,9,121,50,8,7%,1%
S01006693,Hilton,Aberdeen City,960,705,10%,92,6%,42,60,103,72,110,15%,0.04,92,83%,5.71,66,5%,7%,2.421667488,1.91670197,1.344699507,1.406257669,1.268487685,4.031566265,6.911699507,5.632268473,4.579931034,0%,33,348,227,24,23%,2%
S01006694,Stockethill,Aberdeen City,896,488,19%,173,18%,87,145,194,256,105,25%,0.10,141,79%,5.35,151,4%,7%,3.352927746,3.446092486,3.731991329,3.838672249,4.30367052,3.844944444,10.38475145,13.17829769,14.41172832,7%,41,452,104,18,12%,2%
